time_stamp,pm2.5_atm,pm10.0_atm
2021-08-09T00:00:00Z,44.259,53.2585
2021-08-10T00:00:00Z,42.7335,51.801
2021-08-11T00:00:00Z,20.836,22.9605
2021-08-12T00:00:00Z,9.6035,10.168
2021-08-13T00:00:00Z,13.418,14.088999999999999
2021-08-14T00:00:00Z,11.083,11.6155
2021-08-15T00:00:00Z,44.5,52.388000000000005
2021-08-16T00:00:00Z,60.0285,71.21000000000001
2021-08-17T00:00:00Z,41.5135,51.3875
2021-08-18T00:00:00Z,36.0465,42.7705
2021-08-19T00:00:00Z,73.88550000000001,86.72200000000001
2021-08-20T00:00:00Z,28.067,31.3975
2021-08-21T00:00:00Z,22.811500000000002,25.962
2021-08-22T00:00:00Z,13.6435,14.821000000000002
2021-08-23T00:00:00Z,8.1215,8.774000000000001
2021-08-24T00:00:00Z,6.436999999999999,7.133
2021-08-25T00:00:00Z,15.4785,17.134
2021-08-26T00:00:00Z,19.158,22.192500000000003
2021-08-27T00:00:00Z,44.275999999999996,54.539
2021-08-28T00:00:00Z,41.224000000000004,51.0965
2021-08-29T00:00:00Z,34.9625,42.1175
2021-08-30T00:00:00Z,37.23650000000001,44.798
2021-08-31T00:00:00Z,23.912,26.415
2021-09-01T00:00:00Z,16.672,17.756
2021-09-02T00:00:00Z,17.378,18.506
2021-09-03T00:00:00Z,18.0535,19.391
2021-09-04T00:00:00Z,37.281,44.6135
2021-09-05T00:00:00Z,16.4525,17.66
2021-09-06T00:00:00Z,19.5975,21.069000000000003
2021-09-07T00:00:00Z,34.9835,41.715
2021-09-08T00:00:00Z,32.232,36.681
2021-09-09T00:00:00Z,27.235500000000002,29.834
2021-09-10T00:00:00Z,14.8045,15.927
2021-09-11T00:00:00Z,11.0905,11.91
2021-09-12T00:00:00Z,4.0825,4.369999999999999
2021-09-13T00:00:00Z,4.3525,4.639
2021-09-14T00:00:00Z,13.3925,14.281500000000001
2021-09-15T00:00:00Z,18.173000000000002,19.490499999999997
2021-09-16T00:00:00Z,12.8695,13.839
2021-09-17T00:00:00Z,18.6625,20.194
2021-09-18T00:00:00Z,6.6145,7.176500000000001
