time_stamp,pm2.5_atm,pm10.0_atm
2020-05-12T00:00:00Z,23.0415,24.105
2020-05-13T00:00:00Z,3.265,4.1155
2020-05-14T00:00:00Z,2.0225,2.845
2020-05-15T00:00:00Z,4.365,5.868
2020-05-16T00:00:00Z,1.5875,1.921
2020-05-17T00:00:00Z,4.8875,5.5375
2020-05-18T00:00:00Z,5.063,5.7855
2020-05-19T00:00:00Z,191.0815,192.0775
2020-05-20T00:00:00Z,2.4395,2.9055
2020-05-21T00:00:00Z,0.9415,1.213
2020-05-22T00:00:00Z,2.89,3.557
2020-05-23T00:00:00Z,5.47,6.0145
2020-05-24T00:00:00Z,56.298,56.8015
2020-05-25T00:00:00Z,2.1285,2.377
2020-05-26T00:00:00Z,2.531,2.8965
2020-05-27T00:00:00Z,4.2145,4.916
2020-05-28T00:00:00Z,2.7225,3.2145
2020-05-29T00:00:00Z,3.0205,3.4575
2020-05-30T00:00:00Z,3.0225,3.364
2020-05-31T00:00:00Z,3.1795,3.79
2020-06-01T00:00:00Z,1.146,1.5235
2020-06-02T00:00:00Z,4.6325,5.5125
2020-06-03T00:00:00Z,5.776,6.645
2020-06-04T00:00:00Z,4.195,4.9815
2020-06-05T00:00:00Z,7.1555,8.2755
2020-06-06T00:00:00Z,2.4615,3.04
2020-06-07T00:00:00Z,4.705,5.435
2020-06-08T00:00:00Z,0.871,1.1385
2020-06-09T00:00:00Z,2.092,2.515
2020-06-10T00:00:00Z,1.2345,1.6825
2020-06-11T00:00:00Z,1.7105,2.1855
2020-06-12T00:00:00Z,2.8105,3.372
2020-06-13T00:00:00Z,3.427,3.955
2020-06-14T00:00:00Z,1.498,2.072
2020-06-15T00:00:00Z,2.437,3.046
2020-06-16T00:00:00Z,2.3535,3.5095
2020-06-17T00:00:00Z,1.022,1.3805
2020-06-18T00:00:00Z,2.3235,2.9785
2020-06-19T00:00:00Z,2.66,3.436
2020-06-20T00:00:00Z,3.154,3.5625
2020-06-21T00:00:00Z,2.9345,3.3345
2020-06-22T00:00:00Z,3.171,3.8015
2020-06-23T00:00:00Z,2.381,3.2455
2020-06-24T00:00:00Z,2.818,3.667
2020-06-25T00:00:00Z,4.1935,6.2815
2020-06-26T00:00:00Z,3.4095,4.267
2020-06-27T00:00:00Z,2.901,3.2705
2020-06-28T00:00:00Z,4.769,5.9675
2020-06-29T00:00:00Z,1.805,2.144
2020-06-30T00:00:00Z,2.5005,2.886
2020-07-01T00:00:00Z,4.381,5.055
2020-07-02T00:00:00Z,2.827,3.354
2020-07-03T00:00:00Z,3.732,4.276
2020-07-04T00:00:00Z,2.254,2.717
2020-07-05T00:00:00Z,40.69,45.6775
2020-07-06T00:00:00Z,8.2235,9.429
2020-07-07T00:00:00Z,3.145,4.1855
2020-07-08T00:00:00Z,5.8515,7.181
2020-07-09T00:00:00Z,6.2705,7.3305
2020-07-10T00:00:00Z,5.1725,6.1905
2020-07-11T00:00:00Z,5.087,5.9155
2020-07-12T00:00:00Z,4.8865,5.4425
2020-07-13T00:00:00Z,4.295,5.375
2020-07-14T00:00:00Z,4.0535,6.0255
2020-07-15T00:00:00Z,4.4115,5.836
2020-07-16T00:00:00Z,5.2995,6.6605
2020-07-17T00:00:00Z,4.894,5.9065
2020-07-18T00:00:00Z,2.598,3.2315
2020-07-19T00:00:00Z,5.2295,5.8225
2020-07-20T00:00:00Z,6.455,7.396
2020-07-21T00:00:00Z,14.9795,16.3135
2020-07-22T00:00:00Z,8.8185,9.541
2020-07-23T00:00:00Z,4.575,5.013
2020-07-24T00:00:00Z,2.379,2.7975
2020-07-25T00:00:00Z,12.5495,15.2925
2020-07-26T00:00:00Z,5.026,5.6515
2020-07-27T00:00:00Z,5.883,6.701
2020-07-28T00:00:00Z,3.066,3.7545
2020-07-29T00:00:00Z,4.199,5.127
2020-07-30T00:00:00Z,7.609,8.5555
2020-07-31T00:00:00Z,6.87,8.1835
2020-08-01T00:00:00Z,7.0165,7.803
2020-08-02T00:00:00Z,3.7345,4.145
2020-08-03T00:00:00Z,11.619,12.807
2020-08-04T00:00:00Z,11.9925,13.7705
2020-08-05T00:00:00Z,10.161,11.326
2020-08-06T00:00:00Z,5.7185,6.443
2020-08-07T00:00:00Z,2.3975,2.8865
2020-08-08T00:00:00Z,3.8855,4.438
2020-08-09T00:00:00Z,6.5085,7.3735
