time_stamp,pm2.5_atm
2022-01-01,1.3125
2022-01-02,6.107
2022-01-03,19.3745
2022-01-04,6.445
2022-01-05,5.4595
2022-01-06,13.664
2022-01-07,1.2305
2022-01-08,1.8385
2022-01-09,6.577
2022-01-10,18.08
2022-01-11,41.648
2022-01-12,40.79
2022-01-13,40.4415
2022-01-14,47.94
2022-01-15,35.8445
2022-01-16,42.5745
2022-01-17,48.898
2022-01-18,56.963
2022-01-19,59.139
2022-01-20,42.1675
2022-01-21,21.6825
2022-01-22,7.726
2022-01-23,18.944
2022-01-24,30.423
2022-01-25,21.701
2022-01-26,9.151
2022-01-27,15.1465
2022-01-28,18.4005
2022-01-29,30.751
2022-01-30,46.325
2022-01-31,37.291
2022-02-01,1.3849999999999998
2022-02-02,1.7655
2022-02-03,6.4435
2022-02-04,16.718
2022-02-05,21.3095
2022-02-06,18.916
2022-02-07,15.029
2022-02-08,17.7735
2022-02-09,23.502
2022-02-10,13.896
2022-02-11,14.7875
2022-02-12,10.619
2022-02-13,14.024
2022-02-14,12.625
2022-02-15,2.628
2022-02-16,3.922
2022-02-17,5.1055
2022-02-18,9.061
2022-02-19,6.5645
2022-02-20,2.518
2022-02-21,0.8260000000000001
2022-02-22,1.982
2022-02-23,2.871
2022-02-24,7.8345
2022-02-25,2.8465
2022-02-26,6.817500000000001
2022-02-27,13.082
2022-02-28,20.1755
2022-03-01,19.0735
2022-03-02,20.14
2022-03-03,10.483
2022-03-04,1.3855
2022-03-05,1.8085
2022-03-06,1.3355
2022-03-07,4.031000000000001
2022-03-08,4.506
2022-03-09,4.202999999999999
2022-03-10,1.343
2022-03-11,2.0010000000000003
2022-03-12,2.2595
2022-03-13,1.701
2022-03-14,10.669
2022-03-15,4.491
2022-03-16,5.291
2022-03-17,1.7815
2022-03-18,4.5235
2022-03-19,3.1185
2022-03-20,1.263
2022-03-21,2.058
2022-03-22,4.0745000000000005
2022-03-23,4.5365
2022-03-24,5.9375
2022-03-25,2.549
2022-03-26,1.528
2022-03-27,3.5795000000000003
2022-03-28,0.4594999999999999
2022-03-29,1.0465
2022-03-30,1.912
2022-03-31,2.7815000000000003
2022-04-01,4.422499999999999
2022-04-02,3.888
2022-04-03,2.1145
2022-04-04,3.12
2022-04-05,0.569
2022-04-06,0.852
2022-04-07,3.979
2022-04-08,5.408
2022-04-09,2.934
2022-04-10,0.436
2022-04-11,1.2315
2022-04-12,0.8505
2022-04-13,0.387
2022-04-14,1.7345
2022-04-15,0.968
2022-04-16,5.355499999999999
2022-04-17,1.7515
2022-04-18,5.5065
2022-04-19,3.808
2022-04-20,1.3365
2022-04-21,3.0625
2022-04-22,2.461
2022-04-23,3.0005
2022-04-24,3.101
2022-04-25,1.5445
2022-04-26,3.8305
