time_stamp,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2021-11-12T00:00:00Z,2,2,,2.723,2.723,,3.174,3.174,,3.123,3.123,,3.336,3.336,
2021-11-13T00:00:00Z,1.1,1.1,,1.187,1.187,,1.187,1.187,,1.374,1.374,,1.374,1.374,
2021-11-14T00:00:00Z,1.6,1.6,,2.036,2.036,,2.036,2.036,,2.378,2.378,,2.378,2.378,
2021-11-15T00:00:00Z,0.7,0.7,,0.399,0.399,,0.399,0.399,,0.538,0.538,,0.538,0.538,
2021-11-16T00:00:00Z,0.3,0.3,,0.071,0.071,,0.071,0.071,,0.19,0.19,,0.19,0.19,
2021-11-17T00:00:00Z,0.5,0.5,,0.311,0.311,,0.311,0.311,,0.534,0.534,,0.534,0.534,
2021-11-18T00:00:00Z,0.4,0.4,,0.114,0.114,,0.114,0.114,,0.207,0.207,,0.207,0.207,
2021-11-19T00:00:00Z,0.4,0.4,,0.141,0.141,,0.141,0.141,,0.266,0.266,,0.266,0.266,
2021-11-20T00:00:00Z,1.3,1.3,,1.427,1.427,,1.427,1.427,,1.738,1.738,,1.738,1.738,
2021-11-21T00:00:00Z,1.6,1.6,,2.14,2.14,,2.255,2.255,,2.811,2.811,,2.922,2.922,
2021-11-22T00:00:00Z,2.2,2.2,,2.863,2.863,,3.217,3.217,,3.31,3.31,,3.518,3.518,
2021-11-23T00:00:00Z,0.9,0.9,,0.763,0.763,,0.763,0.763,,0.919,0.919,,0.919,0.919,
2021-11-24T00:00:00Z,1.5,1.5,,1.778,1.778,,2.362,2.362,,2.061,2.061,,2.673,2.673,
2021-11-25T00:00:00Z,2.2,2.2,,3.073,3.073,,3.405,3.405,,3.642,3.642,,3.841,3.841,
2021-11-26T00:00:00Z,3.5,3.5,,5.301,5.301,,5.629,5.629,,6.089,6.089,,6.212,6.212,
2021-11-27T00:00:00Z,2.1,2.1,,2.69,2.69,,2.69,2.69,,2.989,2.989,,2.989,2.989,
2021-11-28T00:00:00Z,2.3,2.3,,3.238,3.238,,3.238,3.238,,3.574,3.574,,3.574,3.574,
2021-11-29T00:00:00Z,2.2,2.2,,3.048,3.048,,3.048,3.048,,3.327,3.327,,3.327,3.327,
2021-11-30T00:00:00Z,1.1,1.1,,1.125,1.125,,1.125,1.125,,1.283,1.283,,1.283,1.283,
2021-12-01T00:00:00Z,1.4,1.4,,1.549,1.549,,1.549,1.549,,1.798,1.798,,1.798,1.798,
2021-12-02T00:00:00Z,0.8,0.8,,0.547,0.547,,0.547,0.547,,0.689,0.689,,0.689,0.689,
2021-12-03T00:00:00Z,1.5,1.5,,1.728,1.728,,1.728,1.728,,2.01,2.01,,2.01,2.01,
2021-12-04T00:00:00Z,7.4,7.4,,9.613,9.613,,12.662,12.662,,10.94,10.94,,13.803,13.803,
2021-12-05T00:00:00Z,2,2,,2.635,2.635,,2.676,2.676,,2.955,2.955,,2.956,2.956,
2021-12-06T00:00:00Z,2.5,2.5,,3.007,3.007,,3.833,3.833,,3.633,3.633,,4.413,4.413,
2021-12-07T00:00:00Z,0.9,0.9,,0.79,0.79,,0.79,0.79,,1.004,1.004,,1.004,1.004,
2021-12-08T00:00:00Z,0.7,0.7,,0.441,0.441,,0.441,0.441,,0.587,0.587,,0.587,0.587,
2021-12-09T00:00:00Z,0.3,0.3,,0.032,0.032,,0.032,0.032,,0.089,0.089,,0.089,0.089,
2021-12-10T00:00:00Z,2,2,,2.985,2.985,,3.082,3.082,,3.669,3.669,,3.734,3.734,
2021-12-11T00:00:00Z,0.2,0.2,,0.008,0.008,,0.008,0.008,,0.055,0.055,,0.055,0.055,
