time_stamp,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2021-07-16T00:00:00Z,126.1,126.1,,153.27,153.27,,226.8,226.8,,242.045,242.045,,359.507,359.507,
2021-07-17T00:00:00Z,16.6,16.6,,19.429,19.429,,28.13,28.13,,24.444,24.444,,35.124,35.124,
2021-07-18T00:00:00Z,0.8,0.8,,0.495,0.495,,0.495,0.495,,0.577,0.577,,0.577,0.577,
2021-07-19T00:00:00Z,10.7,10.7,,12.431,12.431,,17.7,17.7,,16.994,16.994,,24.172,24.172,
2021-08-19T00:00:00Z,17.2,17.2,,25.547,25.547,,29.704,29.704,,29.436,29.436,,32.463,32.463,
2021-08-20T00:00:00Z,6.8,6.8,,10.482,10.482,,10.709,10.709,,11.647,11.647,,11.704,11.704,
2021-08-21T00:00:00Z,7,7,,10.953,10.953,,10.968,10.968,,11.837,11.837,,11.836,11.836,
2021-08-22T00:00:00Z,8.9,8.9,,14.335,14.335,,14.335,14.335,,15.51,15.51,,15.51,15.51,
2021-08-23T00:00:00Z,5.9,5.9,,8.767,8.767,,8.985,8.985,,9.723,9.723,,9.922,9.922,
2021-08-24T00:00:00Z,5.4,5.4,,7.759,7.759,,8.247,8.247,,9.236,9.236,,9.537,9.537,
2021-08-25T00:00:00Z,6.3,6.3,,9.582,9.582,,9.731,9.731,,10.836,10.836,,10.908,10.908,
2021-08-26T00:00:00Z,11.3,11.3,,14.314,14.314,,17.904,17.904,,16.092,16.092,,20.007,20.007,
2021-08-27T00:00:00Z,13.7,13.7,,20.077,20.077,,23.004,23.004,,23.351,23.351,,24.743,24.743,
2021-08-28T00:00:00Z,20,20,,31.879,31.879,,34.514,34.514,,36.399,36.399,,36.749,36.749,
2021-08-29T00:00:00Z,13.2,13.2,,21.118,21.118,,22.089,22.089,,23.042,23.042,,23.554,23.554,
2021-08-30T00:00:00Z,5.3,5.3,,7.916,7.916,,7.922,7.922,,8.721,8.721,,8.721,8.721,
2021-08-31T00:00:00Z,3.5,3.5,,4.879,4.879,,4.879,4.879,,5.911,5.911,,5.913,5.913,
2021-09-01T00:00:00Z,6.9,6.9,,9.849,9.849,,10.599,10.599,,11.027,11.027,,11.414,11.414,
2021-09-02T00:00:00Z,8.6,8.6,,13.724,13.724,,13.77,13.77,,14.656,14.656,,14.673,14.673,
2021-09-03T00:00:00Z,11.5,11.5,,18.629,18.629,,19.087,19.087,,20.436,20.436,,20.483,20.483,
