time_stamp,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2020-11-16T00:00:00Z,88.4,88,88.8,103.2585,102.789,103.728,154.3695,153.539,155.2,128.371,123.609,133.133,191.18650000000002,183.948,198.425
2021-01-06T00:00:00Z,168.3,166.2,170.5,199.38799999999998,196.796,201.98,299.561,295.669,303.453,263.828,250.569,277.087,395.12149999999997,375.238,415.005
2021-01-07T00:00:00Z,6.2,6.1,6.3,9.344999999999999,9.193,9.497,9.658,9.523,9.793,10.683499999999999,10.411,10.956,10.794,10.492,11.096
2021-04-03T00:00:00Z,3.1,3.1,3.2,4.798500000000001,4.439,5.158,4.798500000000001,4.439,5.158,4.9775,4.624,5.331,4.9775,4.624,5.331
2021-04-04T00:00:00Z,4.1,4.1,4.2,6.5985,6.306,6.891,6.6080000000000005,6.311,6.905,7.052,6.701,7.403,7.0525,6.701,7.404
2021-04-05T00:00:00Z,3.2,3,3.3,4.930999999999999,4.467,5.395,4.939,4.467,5.411,5.5295000000000005,4.961,6.098,5.53,4.961,6.099
2021-04-06T00:00:00Z,2.6,2.5,2.7,4.219,3.775,4.663,4.2219999999999995,3.775,4.669,5.764,4.995,6.533,5.7645,4.995,6.534
2021-04-07T00:00:00Z,3,3.2,2.9,4.435499999999999,4.723,4.148,4.435499999999999,4.723,4.148,4.7855,5.026,4.545,4.7855,5.026,4.545
2021-04-08T00:00:00Z,3.1,3.1,3,4.6865000000000006,4.667,4.706,4.6875,4.667,4.708,5.164999999999999,5.052,5.278,5.1655,5.052,5.279
2021-04-09T00:00:00Z,1.3,1.1,1.6,1.6885,1.081,2.296,1.6905,1.081,2.3,1.9375,1.286,2.589,1.9395,1.286,2.593
2021-04-10T00:00:00Z,2.9,2.8,3,4.5024999999999995,4.153,4.852,4.506,4.154,4.858,4.8745,4.456,5.293,4.875,4.456,5.294
2021-04-11T00:00:00Z,3.7,3.8,3.6,5.1855,5.269,5.102,5.7735,5.907,5.64,5.9665,5.968,5.965,6.3515,6.378,6.325
2021-04-12T00:00:00Z,1.7,1.8,1.6,2.1574999999999998,2.313,2.002,2.1574999999999998,2.313,2.002,2.4965,2.592,2.401,2.4965,2.592,2.401
2021-04-13T00:00:00Z,2.8,2.9,2.7,4.156,4.407,3.905,4.156,4.407,3.905,4.6225000000000005,4.764,4.481,4.6225000000000005,4.764,4.481
2021-04-14T00:00:00Z,2.1,2.1,2.1,2.9835,2.893,3.074,2.9844999999999997,2.893,3.076,3.2325,3.094,3.371,3.2315,3.092,3.371
2021-04-15T00:00:00Z,5.4,5.4,5.5,8.5455,8.341,8.75,8.5515,8.345,8.758,8.994499999999999,8.709,9.28,8.999,8.71,9.288
2021-04-16T00:00:00Z,4.5,4.4,4.6,7.083,6.851,7.315,7.0665,6.809,7.324,7.413500000000001,7.097,7.73,7.4085,7.086,7.731
2021-04-17T00:00:00Z,1.4,1.2,1.7,1.819,1.266,2.372,1.8275,1.275,2.38,1.9205,1.345,2.496,1.9235000000000002,1.349,2.498
2021-04-18T00:00:00Z,5.6,5.6,5.6,9.681000000000001,9.565,9.797,9.697,9.572,9.822,10.283999999999999,10.03,10.538,10.285,10.03,10.54
2021-04-19T00:00:00Z,2.7,2.6,2.9,4.149,3.766,4.532,4.15,3.766,4.534,4.6274999999999995,4.135,5.12,4.6274999999999995,4.135,5.12
2021-04-20T00:00:00Z,2.3,2.2,2.3,3.2245,3.093,3.356,3.2245,3.093,3.356,3.5285,3.338,3.719,3.5285,3.338,3.719
2021-04-21T00:00:00Z,2.4,2.2,2.5,3.417,3.111,3.723,3.4195,3.111,3.728,3.7215,3.35,4.093,3.7215,3.35,4.093
2021-04-22T00:00:00Z,3.8,3.6,4,5.999499999999999,5.608,6.391,6.0015,5.608,6.395,6.4365000000000006,5.947,6.926,6.4575,5.948,6.967
2021-04-23T00:00:00Z,3.9,3.9,3.9,6.1055,6.097,6.114,6.106,6.097,6.115,6.5425,6.441,6.644,6.5425,6.441,6.644
2021-04-24T00:00:00Z,3.9,4,3.9,6.115,6.258,5.972,6.147,6.289,6.005,6.7745,6.785,6.764,6.785,6.793,6.777
2021-04-25T00:00:00Z,3.8,3.7,3.9,5.55,5.314,5.786,5.8785,5.649,6.108,6.107,5.766,6.448,6.382,6.043,6.721
2021-04-26T00:00:00Z,1.6,1.3,1.9,2.1955,1.564,2.827,2.198,1.564,2.832,2.3755,1.699,3.052,2.376,1.699,3.053
