Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
4/22/2022,AQS,490350015,1,0.058,ppm,61,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/23/2022,AQS,490350015,1,0.054,ppm,50,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/24/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/25/2022,AQS,490350015,1,0.064,ppm,80,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/26/2022,AQS,490350015,1,0.067,ppm,90,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/27/2022,AQS,490350015,1,0.063,ppm,77,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/28/2022,AQS,490350015,1,0.063,ppm,77,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/29/2022,AQS,490350015,1,0.064,ppm,80,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/30/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
5/1/2022,AQS,490350015,1,0.051,ppm,47,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
