time_stamp,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2020-01-01T00:00:00Z,8.6,9.5,7.7,18.242,19.545,16.939,18.250999999999998,19.563,16.939,21.057000000000002,22.879,19.235,21.057499999999997,22.88,19.235
2020-01-02T00:00:00Z,1.5,1.7,1.4,2.3135000000000003,2.478,2.149,2.3135000000000003,2.478,2.149,2.588,2.812,2.364,2.588,2.812,2.364
2020-01-03T00:00:00Z,2.3,2.5,2.2,3.803,4.011,3.595,3.803,4.011,3.595,4.198,4.472,3.924,4.198,4.472,3.924
2020-01-04T00:00:00Z,2.9,3.1,2.8,5.054,5.228,4.88,5.054,5.228,4.88,5.526,5.768,5.284,5.5225,5.768,5.277
2020-01-05T00:00:00Z,13.2,14.5,11.9,27.941499999999998,29.047,26.836,28.692500000000003,30.234,27.151,31.242,33.093,29.391,31.3555,33.318,29.393
2020-01-06T00:00:00Z,5.9,6.4,5.4,11.701,12.306,11.096,11.701,12.306,11.096,12.779,13.547,12.011,12.777999999999999,13.545,12.011
2020-01-07T00:00:00Z,2.5,2.7,2.3,3.9615,4.18,3.743,3.9615,4.18,3.743,4.390000000000001,4.666,4.114,4.390000000000001,4.666,4.114
2020-01-08T00:00:00Z,3.4,3.7,3.1,6.0785,6.473,5.684,6.0785,6.473,5.684,6.741,7.223,6.259,6.741,7.223,6.259
2020-01-09T00:00:00Z,8.6,9.5,7.7,17.647,18.737,16.557,17.6725,18.786,16.559,19.734,21.12,18.348,19.735,21.122,18.348
2020-01-10T00:00:00Z,1.2,1.3,1.1,1.492,1.639,1.345,1.492,1.639,1.345,1.688,1.873,1.503,1.688,1.873,1.503
2020-01-11T00:00:00Z,1.5,1.6,1.4,2.0905,2.261,1.92,2.0905,2.261,1.92,2.365,2.578,2.152,2.3644999999999996,2.578,2.151
2020-01-12T00:00:00Z,3.1,3.4,2.8,5.6129999999999995,5.958,5.268,5.6129999999999995,5.958,5.268,6.0920000000000005,6.516,5.668,6.0920000000000005,6.516,5.668
