Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
11/2/2023,AQS,490353015,1,43,ug/m3 SC,40,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/3/2023,AQS,490353015,1,31,ug/m3 SC,29,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/4/2023,AQS,490353015,1,25,ug/m3 SC,23,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/5/2023,AQS,490353015,1,23,ug/m3 SC,21,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/6/2023,AQS,490353015,1,46,ug/m3 SC,43,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/7/2023,AQS,490353015,1,8,ug/m3 SC,7,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/8/2023,AQS,490353015,1,11,ug/m3 SC,10,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/9/2023,AQS,490353015,1,20,ug/m3 SC,19,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/10/2023,AQS,490353015,1,27,ug/m3 SC,25,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/11/2023,AQS,490353015,1,27,ug/m3 SC,25,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/12/2023,AQS,490353015,1,20,ug/m3 SC,19,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/13/2023,AQS,490353015,1,27,ug/m3 SC,25,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/14/2023,AQS,490353015,1,27,ug/m3 SC,25,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/15/2023,AQS,490353015,1,27,ug/m3 SC,25,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/16/2023,AQS,490353015,1,14,ug/m3 SC,13,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/17/2023,AQS,490353015,1,34,ug/m3 SC,31,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/18/2023,AQS,490353015,1,28,ug/m3 SC,26,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/19/2023,AQS,490353015,1,4,ug/m3 SC,4,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/20/2023,AQS,490353015,1,5,ug/m3 SC,5,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/21/2023,AQS,490353015,1,23,ug/m3 SC,21,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/22/2023,AQS,490353015,1,34,ug/m3 SC,31,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/23/2023,AQS,490353015,1,28,ug/m3 SC,26,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/24/2023,AQS,490353015,1,8,ug/m3 SC,7,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/25/2023,AQS,490353015,1,5,ug/m3 SC,5,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/26/2023,AQS,490353015,1,8,ug/m3 SC,7,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/27/2023,AQS,490353015,1,29,ug/m3 SC,27,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/28/2023,AQS,490353015,1,48,ug/m3 SC,44,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
11/29/2023,AQS,490353015,1,49,ug/m3 SC,45,Utah Technical Center,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.777145,-111.945849
